image_id,image_name,camera_id,qvec_w,qvec_x,qvec_y,qvec_z,tvec_x,tvec_y,tvec_z
1,frame_000001.jpg,1,0.3882896597274646,-0.08132348680874459,0.9149989355110638,0.07344779544423255,-3.3383187647988035,-0.5841863975954796,4.2069462431776765
2,frame_000002.jpg,1,0.38919131285460684,-0.08092406943358235,0.9147694854920996,0.07195974845242195,-3.35243327273308,-0.568480311459468,4.197521935265822
3,frame_000003.jpg,1,0.3873551639202572,-0.07731264759133935,0.9159501283088357,0.07081026731876922,-3.34894400674988,-0.5440131193988494,4.205349075870456
4,frame_000004.jpg,1,0.3732667313333899,-0.07356751732053844,0.9219730647129252,0.07228717464969471,-3.236011000935055,-0.5388507609528348,4.294723316226608
5,frame_000005.jpg,1,0.3605756193802351,-0.0732792598386141,0.926471256874406,0.07916048870252851,-3.122260359280251,-0.6014925446757066,4.358936156587936
6,frame_000006.jpg,1,0.3506722611228319,-0.09128524002104789,0.928591475198408,0.0800864684084931,-3.029559976689631,-0.6514364983468721,4.385554387721912
7,frame_000007.jpg,1,0.325648222175415,-0.10329438093252218,0.9377062226345387,0.06317077088514535,-2.8152480122043992,-0.48212952114198027,4.529381795095473
8,frame_000008.jpg,1,0.2839611874456301,-0.09456827055186992,0.9519648240128757,0.06469822309330232,-2.4193011710972443,-0.44247088852972516,4.729599509968743
9,frame_000009.jpg,1,0.25181330190858786,-0.11374453224791109,0.9583358909667746,0.07241935135387824,-2.1127437478585045,-0.5267341970190805,4.84227067168763
10,frame_000010.jpg,1,0.2424227422850515,-0.1030811478682151,0.9606768430453958,0.08778094447827883,-2.022291778591646,-0.6562062775158211,4.838122915662373
11,frame_000011.jpg,1,0.22375467558463774,-0.10571170706274477,0.9639408091232433,0.09786213083068049,-1.8345962552357473,-0.7460112634222791,4.871231601152893
12,frame_000012.jpg,1,0.16881594486497328,-0.12546564273338803,0.972882369994704,0.09622600171644019,-1.281501522770193,-0.6844639242282775,5.01356372043164
13,frame_000013.jpg,1,0.07752697181241806,-0.11366610351199095,0.9845941829569141,0.107906813693134,-0.34032390422046593,-0.6867170413896413,5.126913881059085
